acc,status,balance,transferred,ms,note
abul10581,OK,575,575,2899,
abul10582,OK,650,650,2907,
abul10583,OK,800,800,3118,
abul10584,OK,600,600,2951,
abul10585,OK,650,650,2908,
abul10586,OK,575,575,2828,
abul10587,OK,700,700,2929,
abul10588,OK,650,650,3073,
abul10589,OK,1000,1000,2868,
abul10590,OK,800,800,2890,
abul10591,OK,800,800,2906,
abul10592,OK,600,600,2934,
abul10593,OK,550,550,2955,
abul10594,OK,1250,1250,2895,
abul10595,OK,510,510,2942,
abul10596,OK,600,600,2922,
abul10597,OK,750,750,2962,
abul10598,OK,700,700,2854,
abul10599,OK,1000,1000,2942,
abul10600,OK,800,800,2915,
abul10601,OK,800,800,2908,
abul10602,OK,700,700,2927,
abul10603,OK,700,700,3643,
abul10604,OK,750,750,3572,
abul10605,OK,550,550,3325,
abul10606,OK,510,510,3691,
abul10607,OK,1000,1000,3581,
abul10608,OK,750,750,3831,
abul10609,OK,1500,1500,3680,
abul10610,OK,700,700,3122,
abul10611,OK,1250,1250,3353,
abul10612,OK,800,800,2936,
abul10613,OK,1000,1000,3575,
abul10614,OK,750,750,3612,
abul10615,OK,1250,1250,3526,
abul10616,OK,1000,1000,3549,
abul10617,OK,800,800,2941,
abul10618,OK,650,650,2846,
abul10619,OK,1250,1250,2928,
abul10620,OK,510,510,2889,
abul10621,OK,600,600,3343,
abul10622,OK,1250,1250,3291,
abul10623,OK,525,525,3105,
abul10624,OK,575,575,2885,
abul10625,OK,575,575,3001,
abul10626,OK,650,650,2980,
abul10627,OK,800,800,3061,
abul10628,OK,525,525,2947,
abul10629,OK,700,700,3026,
abul10630,OK,510,510,3023,
abul10631,OK,525,525,3069,
abul10632,OK,1500,1500,2959,
abul10633,OK,600,600,2840,
abul10634,OK,575,575,2921,
abul10635,OK,1000,1000,2964,
abul10636,OK,1250,1250,2866,
abul10637,OK,650,650,2892,
abul10638,OK,600,600,3305,
abul10639,OK,1000,1000,3065,
abul10640,OK,750,750,2853,
abul10641,OK,1500,1500,2900,
abul10642,OK,800,800,3371,
abul10643,OK,1250,1250,2888,
abul10644,OK,600,600,2940,
abul10645,OK,800,800,2838,
abul10646,OK,1000,1000,2429,
abul10647,OK,1500,1500,2838,
abul10648,OK,650,650,2980,
abul10649,OK,550,550,2927,
abul10650,OK,800,800,2823,
abul10651,OK,700,700,2976,
abul10652,OK,600,600,2859,
abul10653,OK,1000,1000,2942,
abul10654,OK,575,575,3000,
abul10655,OK,525,525,2937,
abul10656,OK,1000,1000,2934,
abul10657,OK,800,800,2936,
abul10658,OK,1500,1500,2961,
abul10659,OK,1250,1250,2969,
abul10660,OK,550,550,2971,
abul10661,OK,700,700,2794,
abul10662,OK,1250,1250,2876,
abul10663,OK,1500,1500,2947,
abul10664,OK,800,800,2941,
abul10665,OK,510,510,2958,
abul10666,OK,800,800,2892,
abul10667,OK,800,800,2868,
abul10668,OK,600,600,2911,
abul10669,OK,1000,1000,2946,
abul10670,OK,600,600,2820,
abul10671,OK,650,650,2963,
abul10672,OK,550,550,2947,
abul10673,OK,1250,1250,2925,
abul10674,OK,600,600,2930,
abul10675,OK,1000,1000,2933,
abul10676,OK,700,700,2889,
abul10677,OK,1000,1000,2978,
abul10678,OK,600,600,2869,
abul10679,OK,1000,1000,3000,
abul10680,OK,650,650,2920,
