acc,status,remain,reward,prize,ms,note
nguyen1121,SPUN,1,300,300 xu,3470,
nguyen1122,SPUN,1,100,100 xu,3494,
nguyen1123,SPUN,1,200,200 xu,3454,
nguyen1124,SPUN,1,50,50 xu,3119,
nguyen1125,SPUN,1,250,250 xu,3465,
nguyen1126,SPUN,1,300,300 xu,3500,
nguyen1127,SPUN,1,100,100 xu,3652,
nguyen1128,SPUN,1,300,300 xu,3522,
nguyen1129,SPUN,1,500,500 xu,3471,
nguyen113,SPUN,1,150,150 xu,3529,
nguyen1130,SPUN,1,200,200 xu,3521,
nguyen1131,SPUN,1,75,75 xu,3413,
nguyen1132,SPUN,1,150,150 xu,3361,
nguyen1133,SPUN,1,250,250 xu,3443,
nguyen1134,SPUN,1,75,75 xu,3472,
nguyen1135,SPUN,1,1000,1000 xu,3488,
nguyen1136,SPUN,1,750,750 xu,3552,
nguyen1137,SPUN,1,10,10 xu,3555,
nguyen1138,SPUN,1,50,50 xu,3470,
nguyen1139,SPUN,1,200,200 xu,3569,
nguyen114,SPUN,1,25,25 xu,3496,
nguyen1140,SPUN,1,300,300 xu,3476,
nguyen1141,SPUN,1,150,150 xu,3473,
nguyen1142,SPUN,1,500,500 xu,3435,
nguyen1143,SPUN,1,50,50 xu,3514,
nguyen1144,SPUN,1,100,100 xu,3548,
nguyen1145,SPUN,1,25,25 xu,3464,
nguyen1146,SPUN,1,1000,1000 xu,3580,
nguyen1147,SPUN,1,300,300 xu,3534,
nguyen1148,SPUN,1,25,25 xu,3560,
nguyen1149,SPUN,1,25,25 xu,3494,
nguyen115,SPUN,1,1000,1000 xu,3537,
nguyen1150,SPUN,1,200,200 xu,3628,
nguyen1151,SPUN,1,300,300 xu,3568,
nguyen1152,SPUN,1,50,50 xu,3529,
nguyen1153,SPUN,1,75,75 xu,3484,
nguyen1154,SPUN,1,300,300 xu,3607,
nguyen1155,SPUN,1,75,75 xu,3561,
nguyen1156,SPUN,1,500,500 xu,3530,
nguyen1157,SPUN,1,250,250 xu,3473,
nguyen1158,SPUN,1,750,750 xu,3482,
nguyen1159,SPUN,1,200,200 xu,2974,
nguyen116,SPUN,1,300,300 xu,3522,
nguyen1160,SPUN,1,25,25 xu,3407,
nguyen1161,SPUN,1,1000,1000 xu,3379,
